order_id,customer_id,city,food_category,order_value,time_of_day,order_date,order_status,delivery_time_mins,rating,revenue_category,is_completed
ORD00062,CUST0414,Los Angeles,Sushi,81.92,Morning,3/11/2024,Refunded,70,4.3,Medium,0
ORD00063,CUST0002,Los Angeles,Desserts,14.89,Late Night,5/9/2024,Cancelled,31,4.6,High,0
ORD00064,CUST0071,Atlanta,Chinese,35.89,Evening,3/20/2024,Completed,23,2.4,Low,1
ORD00065,CUST0259,Miami,Mexican,65.87,Morning,9/19/2024,Completed,67,3.7,Medium,1
ORD00066,CUST0161,Dallas,Breakfast,38.79,Evening,3/12/2024,Completed,43,4.2,High,1
ORD00067,CUST0445,Los Angeles,Desserts,13.29,Morning,10/13/2024,Cancelled,67,1.1,Medium,0
ORD00068,CUST0234,Atlanta,Chinese,55.15,Morning,1/22/2024,Refunded,33,4,Low,0
ORD00069,CUST0202,Dallas,Pizza,46.33,Evening,3/22/2024,Completed,46,4.4,High,1
ORD00070,CUST0278,Chicago,Mexican,64.17,Afternoon,5/16/2024,Cancelled,73,3.5,Medium,0
ORD00071,CUST0411,Chicago,Pizza,54.99,Afternoon,1/12/2024,Refunded,55,4.4,High,0
ORD00072,CUST0480,Miami,Mexican,21.53,Late Night,10/10/2024,Completed,19,3.5,Medium,1
ORD00073,CUST0455,Seattle,Sushi,46.94,Late Night,2/25/2024,Refunded,59,3.1,Low,0
ORD00074,CUST0495,Seattle,Burgers,42.58,Evening,1/25/2024,Completed,21,3.5,Medium,1
ORD00075,CUST0196,Chicago,Mexican,21.64,Late Night,10/5/2024,Completed,15,2.2,Medium,1
ORD00076,CUST0260,Seattle,Desserts,66.25,Afternoon,1/11/2024,Completed,45,2.8,Low,1
ORD00077,CUST0475,Seattle,Mexican,10.07,Evening,1/15/2024,Completed,17,4.3,High,1
ORD00078,CUST0075,Los Angeles,Breakfast,28.37,Afternoon,7/14/2024,Completed,45,3.7,Low,1
ORD00079,CUST0205,Seattle,Desserts,9.04,Late Night,10/29/2024,Completed,64,1.3,Medium,1
ORD00080,CUST0464,Seattle,Pizza,77.23,Morning,10/6/2024,Completed,25,2.1,Low,1
ORD00081,CUST0350,Atlanta,Mexican,68.15,Late Night,4/5/2024,Refunded,72,1.5,High,0
ORD00082,CUST0335,Miami,Burgers,23.49,Afternoon,1/3/2024,Completed,35,2.5,High,1
ORD00083,CUST0438,Dallas,Burgers,68.08,Evening,4/30/2024,Completed,46,4,Low,1
ORD00084,CUST0010,Miami,Breakfast,80.92,Late Night,10/5/2024,Completed,31,1.9,High,1
ORD00085,CUST0199,Miami,Breakfast,80.08,Late Night,10/23/2024,Cancelled,40,3.4,High,0
ORD00086,CUST0289,Dallas,Burgers,21.96,Evening,11/5/2024,Completed,49,3,High,1
ORD00087,CUST0175,Chicago,Burgers,83.24,Afternoon,3/8/2024,Completed,62,1.6,Low,1
ORD00088,CUST0087,New York,Salads,61.07,Afternoon,10/26/2024,Completed,73,4.6,High,1
ORD00089,CUST0347,Miami,Salads,36.63,Morning,2/26/2024,Completed,37,3.4,High,1
ORD00090,CUST0036,Seattle,Breakfast,79.34,Evening,10/28/2024,Completed,45,3.9,Medium,1
ORD00091,CUST0011,Chicago,Pizza,63.51,Afternoon,7/22/2024,Completed,60,2.4,High,1
ORD00092,CUST0467,Los Angeles,Breakfast,82.91,Late Night,9/8/2024,Completed,35,2.9,High,1
ORD00093,CUST0197,Miami,Breakfast,63.28,Morning,10/24/2024,Completed,25,2.7,High,1
ORD00094,CUST0491,Los Angeles,Pizza,49.23,Afternoon,4/6/2024,Cancelled,50,4.8,High,0
ORD00095,CUST0368,Miami,Burgers,53.93,Afternoon,1/16/2024,Completed,25,3,Medium,1
ORD00096,CUST0348,Dallas,Breakfast,43.18,Evening,6/7/2024,Cancelled,63,1.9,Medium,0
ORD00097,CUST0051,New York,Pizza,89.52,Morning,12/29/2024,Cancelled,40,2.1,Medium,0
ORD00098,CUST0265,New York,Pizza,27.24,Late Night,10/20/2024,Refunded,30,1.8,High,0
ORD00099,CUST0230,Seattle,Mexican,14.29,Morning,11/4/2024,Cancelled,56,2.7,Medium,0
ORD00100,CUST0174,Houston,Pizza,30.67,Morning,9/7/2024,Refunded,58,2,Low,0
ORD00101,CUST0369,Seattle,Salads,23.03,Morning,7/7/2024,Completed,20,4.5,Medium,1
ORD00102,CUST0321,Seattle,Chinese,62.94,Morning,9/1/2024,Refunded,47,2.4,Low,0
ORD00103,CUST0168,New York,Burgers,84.38,Evening,3/11/2024,Completed,17,3.4,High,1
ORD00104,CUST0287,Chicago,Breakfast,72.3,Afternoon,10/30/2024,Completed,41,1.9,High,1
ORD00105,CUST0146,Houston,Burgers,80.6,Morning,9/18/2024,Cancelled,60,4,High,0
ORD00106,CUST0334,New York,Chinese,47.44,Evening,10/17/2024,Cancelled,47,3,High,0
ORD00107,CUST0106,Dallas,Sushi,64.91,Afternoon,2/27/2024,Completed,33,2.9,Medium,1
ORD00108,CUST0436,Miami,Sushi,52.67,Late Night,12/11/2024,Completed,72,4.3,High,1
ORD00109,CUST0140,Seattle,Chinese,60.47,Morning,10/10/2024,Completed,52,3.2,Medium,1
ORD00110,CUST0447,Dallas,Breakfast,45.78,Morning,7/30/2024,Cancelled,17,4.6,High,0
ORD00111,CUST0291,Dallas,Burgers,33.64,Late Night,3/30/2024,Completed,54,3.3,Medium,1
ORD00112,CUST0211,Houston,Mexican,57.48,Late Night,9/22/2024,Completed,74,2.4,Medium,1
ORD00113,CUST0371,Los Angeles,Desserts,54.07,Evening,11/23/2024,Refunded,20,2.5,High,0
ORD00114,CUST0360,Dallas,Breakfast,68.77,Morning,11/13/2024,Cancelled,15,1.1,Medium,0
ORD00115,CUST0460,Miami,Mexican,84.04,Afternoon,4/14/2024,Cancelled,23,4.2,High,0
ORD00116,CUST0114,Chicago,Mexican,48.41,Late Night,7/17/2024,Refunded,59,2.7,High,0
ORD00117,CUST0482,Houston,Mexican,64.08,Evening,7/18/2024,Completed,68,4.1,Medium,1
ORD00118,CUST0039,Dallas,Mexican,38.37,Late Night,1/23/2024,Completed,26,3.6,High,1
ORD00119,CUST0071,New York,Sushi,58.7,Late Night,9/8/2024,Cancelled,35,4,Medium,0
ORD00120,CUST0078,Chicago,Burgers,89.08,Evening,7/4/2024,Completed,44,3.3,High,1
ORD00121,CUST0022,Los Angeles,Desserts,58.49,Evening,9/16/2024,Completed,52,3.2,High,1
ORD00122,CUST0064,Miami,Burgers,36.76,Afternoon,6/9/2024,Completed,22,1.8,High,1
ORD00123,CUST0321,Atlanta,Chinese,73.56,Afternoon,2/19/2024,Cancelled,29,1.7,Medium,0
ORD00124,CUST0412,Dallas,Burgers,66.36,Evening,10/5/2024,Refunded,40,2.4,High,0
ORD00125,CUST0097,Houston,Sushi,34.44,Late Night,4/30/2024,Completed,32,4,High,1
ORD00126,CUST0037,Los Angeles,Sushi,22.33,Evening,2/6/2024,Completed,25,1.3,Medium,1
ORD00127,CUST0290,Seattle,Chinese,80.71,Morning,7/28/2024,Completed,65,4.2,Low,1
ORD00128,CUST0483,Chicago,Chinese,54.86,Afternoon,1/8/2024,Completed,59,3.3,High,1
ORD00129,CUST0440,Atlanta,Pizza,56.25,Evening,12/18/2024,Completed,42,3.4,Medium,1
ORD00130,CUST0233,Chicago,Breakfast,74.36,Late Night,9/18/2024,Completed,49,3.2,High,1
ORD00131,CUST0013,Los Angeles,Burgers,25.79,Evening,1/12/2024,Completed,51,2.3,High,1
ORD00132,CUST0159,Atlanta,Salads,25.01,Afternoon,6/13/2024,Completed,41,3.1,Medium,1
ORD00133,CUST0409,Houston,Burgers,67.33,Late Night,2/3/2024,Completed,64,2.2,Medium,1
ORD00134,CUST0205,New York,Sushi,45.17,Morning,12/24/2024,Refunded,70,2.4,High,0
ORD00135,CUST0238,Seattle,Desserts,46.03,Morning,5/29/2024,Completed,44,4.3,Medium,1
ORD00136,CUST0027,Dallas,Salads,68.37,Afternoon,12/12/2024,Refunded,73,3.9,Medium,0
ORD00137,CUST0250,Atlanta,Burgers,41.06,Morning,1/19/2024,Completed,48,1.9,High,1
ORD00138,CUST0162,Los Angeles,Pizza,67.98,Late Night,9/19/2024,Completed,21,3.5,Medium,1
ORD00139,CUST0377,Los Angeles,Mexican,60.59,Morning,12/27/2024,Completed,17,1.1,High,1
ORD00140,CUST0043,New York,Burgers,17.5,Late Night,9/25/2024,Completed,60,3.4,High,1
ORD00141,CUST0447,Atlanta,Sushi,25.17,Afternoon,9/14/2024,Completed,50,1.3,Low,1
ORD00142,CUST0466,Atlanta,Pizza,82.54,Afternoon,12/10/2024,Completed,18,3.1,Medium,1
ORD00143,CUST0066,Dallas,Mexican,60.92,Evening,5/15/2024,Completed,64,1.7,High,1
ORD00144,CUST0118,Houston,Mexican,79.88,Late Night,9/27/2024,Completed,36,2.4,High,1
ORD00145,CUST0007,Houston,Pizza,28.45,Morning,4/12/2024,Completed,32,2.4,High,1
ORD00146,CUST0245,Miami,Burgers,89.1,Evening,3/23/2024,Completed,43,1.8,Medium,1
ORD00147,CUST0246,Miami,Desserts,17.54,Morning,5/6/2024,Cancelled,16,4.7,High,0
ORD00148,CUST0352,Dallas,Sushi,89.28,Late Night,3/28/2024,Completed,59,2.8,Low,1
ORD00149,CUST0357,Atlanta,Breakfast,83.43,Evening,8/11/2024,Completed,17,4.7,High,1
ORD00150,CUST0213,Seattle,Burgers,16.73,Morning,4/6/2024,Cancelled,51,3.8,High,0
ORD00151,CUST0157,Houston,Breakfast,48.4,Morning,7/31/2024,Completed,57,3.3,Low,1
ORD00152,CUST0335,Atlanta,Desserts,49.89,Morning,7/22/2024,Completed,19,2.3,Medium,1
ORD00153,CUST0322,Dallas,Breakfast,40.79,Evening,5/8/2024,Completed,42,1.2,Medium,1
ORD00154,CUST0357,Seattle,Desserts,82.92,Evening,10/21/2024,Completed,23,2.9,Medium,1
ORD00155,CUST0100,Chicago,Desserts,89.74,Late Night,2/2/2024,Cancelled,35,3.7,High,0
ORD00156,CUST0150,Los Angeles,Chinese,41.05,Afternoon,10/22/2024,Completed,61,3.6,High,1
ORD00157,CUST0470,Atlanta,Burgers,71.32,Late Night,6/30/2024,Refunded,33,3.5,Medium,0
ORD00158,CUST0330,Dallas,Breakfast,21.15,Late Night,5/1/2024,Completed,69,2.3,High,1
ORD00159,CUST0406,New York,Breakfast,34.95,Afternoon,3/29/2024,Completed,35,1.5,Low,1
ORD00160,CUST0101,Houston,Desserts,33.84,Afternoon,8/3/2024,Refunded,68,3.4,Medium,0
ORD00161,CUST0141,Atlanta,Mexican,60.28,Afternoon,12/23/2024,Completed,69,1.8,Medium,1
ORD00162,CUST0199,Chicago,Pizza,45.96,Morning,8/13/2024,Completed,67,3.1,High,1
ORD00163,CUST0238,Dallas,Burgers,56.95,Evening,1/17/2024,Refunded,28,1.3,Medium,0
ORD00164,CUST0405,Houston,Chinese,86.8,Late Night,3/8/2024,Completed,24,3.2,High,1
ORD00165,CUST0071,Dallas,Burgers,75.38,Morning,3/25/2024,Completed,22,2.2,High,1
ORD00166,CUST0111,Miami,Sushi,42.57,Morning,8/8/2024,Refunded,63,4.7,High,0
ORD00167,CUST0199,Atlanta,Breakfast,51.6,Afternoon,8/17/2024,Completed,62,4.7,Medium,1
ORD00168,CUST0188,Chicago,Burgers,58.45,Morning,5/11/2024,Completed,18,2,Medium,1
ORD00169,CUST0352,Chicago,Chinese,33.2,Evening,3/7/2024,Completed,27,2.6,High,1
ORD00170,CUST0152,Seattle,Salads,58.85,Evening,2/22/2024,Completed,58,1.2,Medium,1
ORD00171,CUST0397,New York,Breakfast,64.07,Late Night,6/12/2024,Completed,73,1.1,High,1
ORD00172,CUST0227,Houston,Mexican,19.47,Evening,11/28/2024,Refunded,26,4.7,High,0
ORD00173,CUST0425,Houston,Salads,20.3,Late Night,7/25/2024,Completed,40,3,Low,1
ORD00174,CUST0114,Atlanta,Pizza,18.37,Morning,8/17/2024,Completed,58,1.2,Low,1
ORD00175,CUST0276,Seattle,Salads,61.05,Morning,1/6/2024,Completed,36,3.9,Low,1
ORD00176,CUST0051,Los Angeles,Sushi,35.23,Morning,4/25/2024,Completed,24,2.7,High,1
ORD00177,CUST0185,Miami,Salads,27.26,Late Night,8/18/2024,Completed,36,2.2,Medium,1
ORD00178,CUST0405,Miami,Burgers,82.93,Afternoon,5/17/2024,Completed,19,1.9,Medium,1
ORD00179,CUST0094,Seattle,Mexican,87.91,Morning,8/10/2024,Refunded,60,2.7,High,0
ORD00180,CUST0034,Atlanta,Salads,76.91,Evening,4/27/2024,Refunded,27,1.1,High,0
ORD00181,CUST0175,Chicago,Chinese,37.52,Afternoon,8/13/2024,Refunded,50,4.7,High,0
ORD00182,CUST0057,Atlanta,Chinese,69.32,Morning,6/15/2024,Completed,62,2.7,Medium,1
ORD00183,CUST0285,New York,Pizza,81.9,Late Night,10/31/2024,Completed,72,2.2,High,1
ORD00184,CUST0440,Miami,Salads,66.47,Morning,12/9/2024,Completed,37,3.8,High,1
ORD00185,CUST0405,Seattle,Desserts,12.73,Afternoon,3/30/2024,Refunded,20,1.3,High,0
ORD00186,CUST0018,New York,Breakfast,25.35,Evening,9/24/2024,Completed,75,3.1,Low,1
ORD00187,CUST0292,Atlanta,Mexican,31.59,Morning,1/14/2024,Refunded,30,3.8,Medium,0
ORD00188,CUST0093,New York,Chinese,86.35,Afternoon,12/30/2024,Completed,68,3.9,Medium,1
ORD00189,CUST0097,Miami,Breakfast,42.35,Afternoon,7/2/2024,Completed,58,4.1,High,1
ORD00190,CUST0283,Houston,Sushi,89.44,Morning,3/13/2024,Cancelled,73,4.1,Medium,0
ORD00191,CUST0162,Chicago,Salads,78.39,Afternoon,11/11/2024,Completed,43,1.8,High,1
ORD00192,CUST0059,Atlanta,Burgers,13.81,Afternoon,11/30/2024,Refunded,44,1.1,High,0
ORD00193,CUST0072,Houston,Breakfast,73.59,Late Night,5/12/2024,Completed,21,2.9,Low,1
ORD00194,CUST0152,New York,Salads,17.53,Afternoon,7/3/2024,Completed,34,4.7,High,1
ORD00195,CUST0288,Atlanta,Breakfast,72.08,Morning,9/20/2024,Completed,61,2.6,Low,1
ORD00196,CUST0457,Los Angeles,Salads,79.75,Morning,12/27/2024,Cancelled,29,4.6,High,0
ORD00197,CUST0064,Houston,Pizza,16.63,Morning,5/10/2024,Completed,60,2.2,High,1
ORD00198,CUST0392,Houston,Mexican,53.59,Afternoon,1/27/2024,Refunded,20,3.4,Low,0
ORD00199,CUST0401,Chicago,Salads,79.57,Morning,3/19/2024,Cancelled,21,4.5,Medium,0
ORD00200,CUST0054,Chicago,Mexican,85.27,Afternoon,10/17/2024,Completed,27,2.2,High,1
ORD00201,CUST0266,Houston,Sushi,22.4,Evening,7/12/2024,Refunded,51,4,High,0
ORD00202,CUST0492,Los Angeles,Desserts,18.79,Afternoon,1/16/2024,Completed,37,3.3,Low,1
ORD00203,CUST0312,Miami,Breakfast,80.36,Late Night,3/17/2024,Completed,39,3.2,Low,1
ORD00204,CUST0378,Houston,Mexican,89.98,Morning,3/9/2024,Completed,72,3.9,High,1
ORD00205,CUST0322,Atlanta,Salads,85.42,Late Night,4/5/2024,Cancelled,15,2.1,High,0
ORD00206,CUST0031,Houston,Chinese,88.02,Morning,5/3/2024,Refunded,17,1.4,High,0
ORD00207,CUST0126,New York,Salads,82.24,Evening,12/18/2024,Completed,25,3.4,High,1
ORD00208,CUST0279,Atlanta,Mexican,56.89,Morning,12/14/2024,Completed,26,2.4,High,1
ORD00209,CUST0235,Dallas,Sushi,34.61,Late Night,7/18/2024,Completed,46,4.6,High,1
ORD00210,CUST0013,Houston,Burgers,11.77,Late Night,10/2/2024,Completed,27,3.7,Medium,1
ORD00211,CUST0295,Miami,Desserts,76.68,Evening,12/29/2024,Completed,39,2.3,Low,1
ORD00212,CUST0059,Chicago,Mexican,43.71,Late Night,1/21/2024,Refunded,33,1.6,High,0
ORD00213,CUST0312,Houston,Desserts,64.96,Morning,8/26/2024,Cancelled,21,1.9,Medium,0
ORD00214,CUST0184,Miami,Desserts,48.55,Morning,9/14/2024,Cancelled,59,4,High,0
ORD00215,CUST0057,Los Angeles,Pizza,81.55,Evening,4/21/2024,Completed,34,3.7,Medium,1
ORD00216,CUST0409,Chicago,Sushi,76.68,Afternoon,10/30/2024,Completed,52,4,High,1
ORD00217,CUST0010,Miami,Burgers,33.59,Morning,3/4/2024,Refunded,23,3.2,High,0
ORD00218,CUST0392,Seattle,Desserts,17.11,Late Night,11/2/2024,Refunded,66,2,Medium,0
ORD00219,CUST0164,Houston,Chinese,31.19,Late Night,8/23/2024,Completed,23,3.8,Low,1
ORD00220,CUST0228,New York,Mexican,60.21,Afternoon,7/1/2024,Refunded,71,1.4,Medium,0
ORD00221,CUST0013,Los Angeles,Sushi,78.18,Afternoon,1/10/2024,Completed,50,1.6,High,1
ORD00222,CUST0204,New York,Chinese,77.57,Morning,10/15/2024,Refunded,28,1.6,High,0
ORD00223,CUST0100,New York,Desserts,81.39,Late Night,6/3/2024,Completed,27,1.9,High,1
ORD00224,CUST0471,Miami,Salads,22.48,Afternoon,7/14/2024,Completed,39,3,High,1
ORD00225,CUST0026,Chicago,Salads,39.72,Late Night,1/31/2024,Completed,19,4.6,Low,1
ORD00226,CUST0473,Miami,Breakfast,57.61,Morning,10/20/2024,Refunded,22,1.8,Medium,0
ORD00227,CUST0223,Seattle,Burgers,47.74,Evening,1/8/2024,Refunded,34,1.2,High,0
ORD00228,CUST0356,Miami,Sushi,12.9,Evening,1/6/2024,Completed,27,2.7,Medium,1
ORD00229,CUST0246,Miami,Salads,46.77,Late Night,1/12/2024,Completed,17,1.9,Low,1
ORD00230,CUST0427,New York,Desserts,47.65,Late Night,1/7/2024,Completed,71,1.1,Medium,1
ORD00231,CUST0239,Houston,Sushi,50.76,Morning,4/21/2024,Completed,36,3.6,Medium,1
ORD00232,CUST0148,New York,Chinese,47.67,Afternoon,8/2/2024,Completed,45,1.5,Medium,1
ORD00233,CUST0496,Dallas,Breakfast,62.07,Late Night,2/14/2024,Completed,51,4.1,Medium,1
ORD00234,CUST0011,New York,Mexican,63.15,Late Night,10/26/2024,Refunded,15,4.5,High,0
ORD00235,CUST0261,Los Angeles,Breakfast,84.98,Afternoon,12/27/2024,Completed,17,2.5,High,1
ORD00236,CUST0229,Houston,Desserts,30.99,Evening,1/22/2024,Completed,72,1.2,High,1
ORD00237,CUST0186,Chicago,Pizza,62.84,Morning,12/10/2024,Refunded,16,2.5,Medium,0
ORD00238,CUST0389,Seattle,Chinese,19.97,Evening,2/14/2024,Refunded,50,3.6,High,0
ORD00239,CUST0382,Seattle,Salads,26.53,Late Night,5/13/2024,Refunded,31,1.6,Low,0
ORD00240,CUST0395,Atlanta,Mexican,61.96,Morning,1/28/2024,Cancelled,22,2.8,Medium,0
ORD00241,CUST0402,Seattle,Breakfast,81.5,Morning,10/27/2024,Refunded,21,4.2,High,0
ORD00242,CUST0322,Seattle,Desserts,40.27,Afternoon,9/11/2024,Completed,22,3.5,High,1
ORD00243,CUST0080,Houston,Desserts,43.94,Afternoon,12/29/2024,Refunded,67,4.1,Medium,0
ORD00244,CUST0173,New York,Pizza,56.33,Afternoon,8/25/2024,Completed,65,2.8,Medium,1
ORD00245,CUST0451,Dallas,Sushi,51.45,Morning,10/3/2024,Completed,31,3.8,High,1
ORD00246,CUST0087,Atlanta,Breakfast,85.79,Morning,3/19/2024,Completed,57,1.7,Medium,1
ORD00247,CUST0326,Los Angeles,Desserts,59.36,Late Night,8/11/2024,Completed,61,1.8,High,1
ORD00248,CUST0217,Los Angeles,Salads,82.36,Late Night,6/19/2024,Completed,56,1.9,High,1
ORD00249,CUST0118,Los Angeles,Mexican,38.45,Late Night,6/29/2024,Cancelled,35,1.8,High,0
ORD00250,CUST0370,Atlanta,Breakfast,60.9,Afternoon,1/15/2024,Completed,45,1.5,Medium,1
ORD00251,CUST0367,Los Angeles,Salads,65.37,Morning,5/5/2024,Completed,48,3.5,High,1
ORD00252,CUST0462,Seattle,Desserts,82.8,Afternoon,10/25/2024,Cancelled,60,2.9,High,0
ORD00253,CUST0163,Seattle,Mexican,16.13,Evening,6/28/2024,Cancelled,52,3.7,High,0
ORD00254,CUST0184,Atlanta,Pizza,14.24,Late Night,11/12/2024,Cancelled,63,4.1,Low,0
ORD00255,CUST0261,New York,Desserts,41.78,Afternoon,3/25/2024,Refunded,50,4.8,Low,0
ORD00256,CUST0058,Miami,Burgers,60.74,Evening,5/20/2024,Cancelled,33,2.5,Medium,0
ORD00257,CUST0113,Atlanta,Pizza,61.72,Afternoon,1/7/2024,Completed,64,2.5,High,1
ORD00258,CUST0155,Chicago,Pizza,39.47,Afternoon,11/13/2024,Cancelled,63,3.4,High,0
ORD00259,CUST0034,New York,Mexican,17.73,Evening,7/14/2024,Completed,27,4.4,Medium,1
ORD00260,CUST0052,Dallas,Breakfast,88.16,Late Night,12/14/2024,Cancelled,37,1.9,Low,0
ORD00261,CUST0385,Dallas,Sushi,43.32,Afternoon,6/29/2024,Cancelled,30,3.1,High,0
ORD00262,CUST0151,Dallas,Burgers,51.47,Evening,3/6/2024,Refunded,70,3.5,Medium,0
